,Teacher_ID,Teacher_Name,Department,Year,Course_ID,Course_Duration,Course_Digit,Course_Present,Digit_Ratio,Digit_Percentage,Digitalization
1322,13,Deman,History,2015,166,12,3,9,0.27,26,Medium-Low Digitalization
1330,13,Deman,History,2015,167,8,3,5,0.36,36,Medium-Low Digitalization
1338,13,Deman,History,2015,168,30,8,22,0.25,25,Medium-Low Digitalization
1346,13,Deman,History,2015,169,28,8,20,0.3,30,Medium-Low Digitalization
1354,13,Deman,History,2015,170,14,2,12,0.18,17,Low Digitalization
1362,13,Deman,History,2015,171,19,4,15,0.22,22,Medium-Low Digitalization
1370,13,Deman,History,2015,172,15,9,6,0.59,59,Medium-High Digitalization
1378,13,Deman,History,2015,173,8,0,8,0.06,6,Low Digitalization
1386,13,Deman,History,2015,174,16,7,9,0.46,46,Medium-Low Digitalization
1394,13,Deman,History,2015,175,16,5,11,0.33,33,Medium-Low Digitalization
1402,13,Deman,History,2015,176,23,13,10,0.56,56,Medium-High Digitalization
1410,14,Bruneau,History,2015,177,53,16,37,0.3,29,Medium-Low Digitalization
1418,14,Bruneau,History,2015,178,26,12,14,0.46,46,Medium-Low Digitalization
1426,14,Bruneau,History,2015,179,13,4,9,0.33,32,Medium-Low Digitalization
1434,14,Bruneau,History,2015,180,5,1,4,0.27,27,Medium-Low Digitalization
1442,14,Bruneau,History,2015,181,12,2,10,0.13,12,Low Digitalization
1450,14,Bruneau,History,2015,182,8,2,6,0.25,24,Medium-Low Digitalization
1458,14,Bruneau,History,2015,183,35,13,22,0.36,36,Medium-Low Digitalization
1466,14,Bruneau,History,2015,184,12,1,11,0.06,6,Low Digitalization
1474,14,Bruneau,History,2015,185,5,2,2,0.5,50,Medium-Low Digitalization
1482,14,Bruneau,History,2015,186,22,3,19,0.14,14,Low Digitalization
1490,14,Bruneau,History,2015,187,32,23,9,0.73,73,Medium-High Digitalization
1498,14,Bruneau,History,2015,188,36,17,19,0.46,45,Medium-Low Digitalization
1506,14,Bruneau,History,2015,189,7,2,5,0.31,31,Medium-Low Digitalization
1514,14,Bruneau,History,2015,190,20,3,17,0.14,13,Low Digitalization
1522,14,Bruneau,History,2015,191,6,3,3,0.55,54,Medium-High Digitalization
1530,14,Bruneau,History,2015,192,36,0,36,0.01,1,Low Digitalization
1538,14,Bruneau,History,2015,193,5,0,5,0.02,2,Low Digitalization
1546,14,Bruneau,History,2015,194,15,1,14,0.1,9,Low Digitalization
1554,14,Bruneau,History,2015,195,18,8,10,0.47,47,Medium-Low Digitalization
1562,15,Thibodaux,Sociology,2015,196,15,5,10,0.35,34,Medium-Low Digitalization
1570,15,Thibodaux,Sociology,2015,197,11,6,5,0.59,58,Medium-High Digitalization
1578,15,Thibodaux,Sociology,2015,198,33,11,22,0.32,32,Medium-Low Digitalization
1586,15,Thibodaux,Sociology,2015,199,15,2,13,0.13,13,Low Digitalization
1594,15,Thibodaux,Sociology,2015,200,33,11,22,0.32,32,Medium-Low Digitalization
1602,15,Thibodaux,Sociology,2015,201,42,13,29,0.31,31,Medium-Low Digitalization
1610,15,Thibodaux,Sociology,2015,202,12,2,10,0.14,14,Low Digitalization
1618,15,Thibodaux,Sociology,2015,203,8,1,7,0.13,12,Low Digitalization
1626,15,Thibodaux,Sociology,2015,204,10,4,6,0.37,37,Medium-Low Digitalization
1634,15,Thibodaux,Sociology,2015,205,33,16,17,0.47,47,Medium-Low Digitalization
1642,15,Thibodaux,Sociology,2015,206,26,9,17,0.35,35,Medium-Low Digitalization
1650,15,Thibodaux,Sociology,2015,207,18,9,9,0.53,52,Medium-High Digitalization
1658,15,Thibodaux,Sociology,2015,208,32,9,23,0.29,28,Medium-Low Digitalization
1666,15,Thibodaux,Sociology,2015,209,29,1,28,0.04,3,Low Digitalization
1674,15,Thibodaux,Sociology,2015,210,32,10,22,0.31,31,Medium-Low Digitalization
1682,15,Thibodaux,Sociology,2015,211,22,10,12,0.46,46,Medium-Low Digitalization
1690,16,Leveque,Sociology,2015,212,28,5,23,0.19,19,Low Digitalization
1698,16,Leveque,Sociology,2015,213,7,3,4,0.44,43,Medium-Low Digitalization
1706,16,Leveque,Sociology,2015,214,34,14,20,0.42,41,Medium-Low Digitalization
1714,16,Leveque,Sociology,2015,215,31,6,25,0.21,20,Low Digitalization
1722,16,Leveque,Sociology,2015,216,8,4,4,0.55,54,Medium-High Digitalization
1730,16,Leveque,Sociology,2015,217,23,11,12,0.48,48,Medium-Low Digitalization
1738,16,Leveque,Sociology,2015,218,26,15,11,0.56,56,Medium-High Digitalization
1746,16,Leveque,Sociology,2015,219,24,4,20,0.19,18,Low Digitalization
1754,16,Leveque,Sociology,2015,220,25,6,19,0.24,23,Medium-Low Digitalization
1762,16,Leveque,Sociology,2015,221,27,8,19,0.29,29,Medium-Low Digitalization
1770,16,Leveque,Sociology,2015,222,24,3,21,0.12,12,Low Digitalization
1778,16,Leveque,Sociology,2015,223,29,14,15,0.49,49,Medium-Low Digitalization
1786,16,Leveque,Sociology,2015,224,10,2,8,0.16,16,Low Digitalization
1794,16,Leveque,Sociology,2015,225,39,24,15,0.61,60,Medium-High Digitalization
1802,16,Leveque,Sociology,2015,226,54,10,44,0.19,19,Low Digitalization
1810,17,Spenard,Sociology,2015,227,13,3,10,0.22,22,Medium-Low Digitalization
1818,17,Spenard,Sociology,2015,228,10,3,7,0.35,34,Medium-Low Digitalization
1826,17,Spenard,Sociology,2015,229,32,0,32,0.01,1,Low Digitalization
1834,17,Spenard,Sociology,2015,230,50,4,46,0.07,7,Low Digitalization
1842,17,Spenard,Sociology,2015,231,14,4,10,0.3,30,Medium-Low Digitalization
1850,17,Spenard,Sociology,2015,232,33,12,21,0.35,35,Medium-Low Digitalization
1858,17,Spenard,Sociology,2015,233,34,24,10,0.7,69,Medium-High Digitalization
1866,18,Livernois,Sociology,2015,234,30,9,21,0.3,30,Medium-Low Digitalization
1874,18,Livernois,Sociology,2015,235,15,9,6,0.63,63,Medium-High Digitalization
1882,18,Livernois,Sociology,2015,236,30,6,24,0.19,18,Low Digitalization
1890,18,Livernois,Sociology,2015,237,15,2,13,0.13,12,Low Digitalization
1898,18,Livernois,Sociology,2015,238,15,6,9,0.37,36,Medium-Low Digitalization
1906,18,Livernois,Sociology,2015,239,31,19,12,0.6,60,Medium-High Digitalization
1914,18,Livernois,Sociology,2015,240,32,1,31,0.02,2,Low Digitalization
1922,18,Livernois,Sociology,2015,241,13,5,8,0.35,35,Medium-Low Digitalization
1930,18,Livernois,Sociology,2015,242,9,3,6,0.38,38,Medium-Low Digitalization
1938,18,Livernois,Sociology,2015,243,27,3,24,0.12,12,Low Digitalization
1946,18,Livernois,Sociology,2015,244,12,8,4,0.64,63,Medium-High Digitalization
1954,18,Livernois,Sociology,2015,245,35,5,30,0.13,13,Low Digitalization
1962,18,Livernois,Sociology,2015,246,17,1,16,0.07,7,Low Digitalization
1970,18,Livernois,Sociology,2015,247,18,4,14,0.22,22,Medium-Low Digitalization
1978,18,Livernois,Sociology,2015,248,9,6,3,0.67,67,Medium-High Digitalization
1986,18,Livernois,Sociology,2015,249,10,2,8,0.15,15,Low Digitalization
1994,18,Livernois,Sociology,2015,250,47,12,35,0.25,24,Medium-Low Digitalization
2002,19,Amar,Sociology,2015,251,15,5,10,0.33,33,Medium-Low Digitalization
2010,19,Amar,Sociology,2015,252,9,6,3,0.63,63,Medium-High Digitalization
2018,19,Amar,Sociology,2015,253,10,3,7,0.32,31,Medium-Low Digitalization
2026,19,Amar,Sociology,2015,254,31,8,23,0.26,25,Medium-Low Digitalization
2034,19,Amar,Sociology,2015,255,35,10,25,0.29,28,Medium-Low Digitalization
2042,19,Amar,Sociology,2015,256,49,5,44,0.1,10,Low Digitalization
2050,19,Amar,Sociology,2015,257,35,14,21,0.39,39,Medium-Low Digitalization
2058,19,Amar,Sociology,2015,258,27,7,20,0.28,27,Medium-Low Digitalization
2066,19,Amar,Sociology,2015,259,46,3,43,0.06,6,Low Digitalization
2074,19,Amar,Sociology,2015,260,16,7,9,0.45,44,Medium-Low Digitalization
2082,19,Amar,Sociology,2015,261,20,9,11,0.44,44,Medium-Low Digitalization
2090,19,Amar,Sociology,2015,262,35,25,10,0.7,70,Medium-High Digitalization
2098,19,Amar,Sociology,2015,263,6,4,2,0.59,59,Medium-High Digitalization
2106,19,Amar,Sociology,2015,264,8,3,5,0.32,32,Medium-Low Digitalization
2114,19,Amar,Sociology,2015,265,29,5,24,0.17,17,Low Digitalization
2122,20,Fontenette,Sociology,2015,266,16,0,16,0.01,1,Low Digitalization
2130,20,Fontenette,Sociology,2015,267,39,24,15,0.61,60,Medium-High Digitalization
2138,20,Fontenette,Sociology,2015,268,35,17,18,0.48,47,Medium-Low Digitalization
2146,20,Fontenette,Sociology,2015,269,60,34,26,0.57,57,Medium-High Digitalization
2154,20,Fontenette,Sociology,2015,270,11,2,9,0.15,15,Low Digitalization
2162,20,Fontenette,Sociology,2015,271,24,12,12,0.5,49,Medium-Low Digitalization
2170,20,Fontenette,Sociology,2015,272,10,6,4,0.59,58,Medium-High Digitalization
2178,20,Fontenette,Sociology,2015,273,24,1,23,0.03,3,Low Digitalization
2186,20,Fontenette,Sociology,2015,274,42,3,39,0.08,8,Low Digitalization
2194,20,Fontenette,Sociology,2015,275,47,17,30,0.37,36,Medium-Low Digitalization
2202,20,Fontenette,Sociology,2015,276,17,0,17,0.01,1,Low Digitalization
2210,20,Fontenette,Sociology,2015,277,24,17,7,0.72,72,Medium-High Digitalization
2218,20,Fontenette,Sociology,2015,278,15,4,11,0.28,27,Medium-Low Digitalization
2226,20,Fontenette,Sociology,2015,279,35,19,16,0.53,52,Medium-High Digitalization
2234,21,Ravenel,Sociology,2015,280,18,0,18,0.01,1,Low Digitalization
2242,21,Ravenel,Sociology,2015,281,27,4,23,0.14,13,Low Digitalization
2250,21,Ravenel,Sociology,2015,282,36,25,11,0.7,70,Medium-High Digitalization
2258,21,Ravenel,Sociology,2015,283,13,3,10,0.25,24,Medium-Low Digitalization
2266,21,Ravenel,Sociology,2015,284,11,6,5,0.54,54,Medium-High Digitalization
2274,21,Ravenel,Sociology,2015,285,39,14,25,0.35,35,Medium-Low Digitalization
2282,21,Ravenel,Sociology,2015,286,15,9,6,0.62,62,Medium-High Digitalization
2290,21,Ravenel,Sociology,2015,287,32,18,14,0.57,56,Medium-High Digitalization
2298,22,Graves,Sociology,2015,288,15,9,6,0.63,63,Medium-High Digitalization
2306,22,Graves,Sociology,2015,289,7,2,5,0.25,25,Medium-Low Digitalization
2314,22,Graves,Sociology,2015,290,9,1,8,0.1,9,Low Digitalization
2322,22,Graves,Sociology,2015,291,39,5,34,0.12,12,Low Digitalization
2330,22,Graves,Sociology,2015,292,14,3,11,0.22,22,Medium-Low Digitalization
2338,22,Graves,Sociology,2015,293,11,1,10,0.11,10,Low Digitalization
2346,22,Graves,Sociology,2015,294,39,22,17,0.56,56,Medium-High Digitalization
2354,22,Graves,Sociology,2015,295,25,16,9,0.63,62,Medium-High Digitalization
2362,22,Graves,Sociology,2015,296,35,15,20,0.42,42,Medium-Low Digitalization
2370,22,Graves,Sociology,2015,297,9,2,7,0.22,21,Medium-Low Digitalization
2378,22,Graves,Sociology,2015,298,12,1,11,0.05,5,Low Digitalization
2386,22,Graves,Sociology,2015,299,6,1,5,0.15,14,Low Digitalization
2394,22,Graves,Sociology,2015,300,28,6,22,0.21,20,Low Digitalization
2402,22,Graves,Sociology,2015,301,22,0,22,0.02,2,Low Digitalization
2410,22,Graves,Sociology,2015,302,56,37,19,0.66,66,Medium-High Digitalization
2418,22,Graves,Sociology,2015,303,12,8,4,0.63,63,Medium-High Digitalization
2426,22,Graves,Sociology,2015,304,8,0,8,0.02,2,Low Digitalization
2434,22,Graves,Sociology,2015,305,5,3,2,0.63,63,Medium-High Digitalization
2442,22,Graves,Sociology,2015,306,19,10,9,0.51,50,Medium-Low Digitalization
2450,23,Frere,Law,2015,307,21,10,11,0.47,47,Medium-Low Digitalization
2458,23,Frere,Law,2015,308,14,9,5,0.63,63,Medium-High Digitalization
2466,23,Frere,Law,2015,309,6,1,5,0.1,9,Low Digitalization
2474,23,Frere,Law,2015,310,35,11,24,0.32,31,Medium-Low Digitalization
2482,23,Frere,Law,2015,311,5,1,4,0.22,21,Medium-Low Digitalization
2490,23,Frere,Law,2015,312,38,6,32,0.15,14,Low Digitalization
2498,23,Frere,Law,2015,313,27,9,18,0.32,32,Medium-Low Digitalization
2506,23,Frere,Law,2015,314,40,4,36,0.11,10,Low Digitalization
2514,24,Rochette,Law,2015,315,51,24,27,0.48,47,Medium-Low Digitalization
2522,24,Rochette,Law,2015,316,13,9,4,0.7,70,Medium-High Digitalization
2530,24,Rochette,Law,2015,317,12,1,11,0.06,5,Low Digitalization
2538,24,Rochette,Law,2015,318,22,5,17,0.23,23,Medium-Low Digitalization
2546,24,Rochette,Law,2015,319,25,8,17,0.33,33,Medium-Low Digitalization
2554,24,Rochette,Law,2015,320,60,6,54,0.11,10,Low Digitalization
2562,25,Michaud,Law,2015,321,35,7,28,0.19,18,Low Digitalization
2570,25,Michaud,Law,2015,322,12,5,7,0.39,38,Medium-Low Digitalization
2578,25,Michaud,Law,2015,323,35,7,28,0.21,21,Medium-Low Digitalization
2586,25,Michaud,Law,2015,324,5,3,2,0.63,62,Medium-High Digitalization
2594,25,Michaud,Law,2015,325,54,23,31,0.43,43,Medium-Low Digitalization
2602,25,Michaud,Law,2015,326,15,4,11,0.25,25,Medium-Low Digitalization
2610,25,Michaud,Law,2015,327,8,4,4,0.56,55,Medium-High Digitalization
2618,25,Michaud,Law,2015,328,7,0,7,0.01,1,Low Digitalization
2626,25,Michaud,Law,2015,329,29,13,16,0.45,44,Medium-Low Digitalization
2634,26,Grosjean,Law,2015,330,14,4,10,0.31,30,Medium-Low Digitalization
2642,26,Grosjean,Law,2015,331,26,14,12,0.53,52,Medium-High Digitalization
2650,26,Grosjean,Law,2015,332,9,3,6,0.29,29,Medium-Low Digitalization
2658,26,Grosjean,Law,2015,333,10,1,9,0.1,10,Low Digitalization
2666,26,Grosjean,Law,2015,334,14,1,13,0.09,8,Low Digitalization
2674,26,Grosjean,Law,2015,335,10,6,4,0.65,64,Medium-High Digitalization
2682,26,Grosjean,Law,2015,336,23,11,12,0.46,45,Medium-Low Digitalization
2690,26,Grosjean,Law,2015,337,10,0,10,0.02,2,Low Digitalization
2698,26,Grosjean,Law,2015,338,29,3,26,0.12,11,Low Digitalization
2706,26,Grosjean,Law,2015,339,11,2,9,0.16,16,Low Digitalization
2714,26,Grosjean,Law,2015,340,29,14,15,0.48,48,Medium-Low Digitalization
2722,26,Grosjean,Law,2015,341,10,1,9,0.14,14,Low Digitalization
2730,26,Grosjean,Law,2015,342,5,0,5,0.02,2,Low Digitalization
2738,26,Grosjean,Law,2015,343,9,4,5,0.49,48,Medium-Low Digitalization
2746,26,Grosjean,Law,2015,344,29,4,25,0.13,12,Low Digitalization
2754,26,Grosjean,Law,2015,345,7,3,4,0.37,37,Medium-Low Digitalization
2762,26,Grosjean,Law,2015,346,10,5,5,0.54,54,Medium-High Digitalization
2770,26,Grosjean,Law,2015,347,36,5,31,0.14,14,Low Digitalization
2778,26,Grosjean,Law,2015,348,17,1,16,0.07,6,Low Digitalization
2786,26,Grosjean,Law,2015,349,33,15,18,0.46,46,Medium-Low Digitalization
2794,26,Grosjean,Law,2015,350,8,1,7,0.17,16,Low Digitalization
2802,26,Grosjean,Law,2015,351,6,1,5,0.23,22,Medium-Low Digitalization
2810,26,Grosjean,Law,2015,352,11,1,10,0.12,11,Low Digitalization
2818,27,Milbert,Law,2015,353,39,16,23,0.4,40,Medium-Low Digitalization
2826,27,Milbert,Law,2015,354,9,5,4,0.52,51,Medium-High Digitalization
2834,27,Milbert,Law,2015,355,6,3,3,0.42,42,Medium-Low Digitalization
2842,27,Milbert,Law,2015,356,9,4,5,0.47,46,Medium-Low Digitalization
2850,27,Milbert,Law,2015,357,52,1,51,0.02,2,Low Digitalization
2858,27,Milbert,Law,2015,358,42,14,28,0.33,33,Medium-Low Digitalization
2866,27,Milbert,Law,2015,359,10,3,7,0.28,27,Medium-Low Digitalization
2874,27,Milbert,Law,2015,360,25,4,21,0.17,17,Low Digitalization
2882,27,Milbert,Law,2015,361,21,5,16,0.26,25,Medium-Low Digitalization
2890,27,Milbert,Law,2015,362,34,19,15,0.57,56,Medium-High Digitalization
2898,27,Milbert,Law,2015,363,10,6,4,0.58,57,Medium-High Digitalization
2906,27,Milbert,Law,2015,364,38,1,37,0.04,3,Low Digitalization
2914,27,Milbert,Law,2015,365,9,0,9,0.02,2,Low Digitalization
2922,27,Milbert,Law,2015,366,39,22,17,0.57,56,Medium-High Digitalization
2930,27,Milbert,Law,2015,367,11,7,4,0.64,63,Medium-High Digitalization
2938,27,Milbert,Law,2015,368,28,11,17,0.4,39,Medium-Low Digitalization
2946,28,Sicotte,Law,2015,369,19,5,14,0.24,23,Medium-Low Digitalization
2954,28,Sicotte,Law,2015,370,58,37,21,0.64,63,Medium-High Digitalization
2962,28,Sicotte,Law,2015,371,14,5,9,0.33,32,Medium-Low Digitalization
2970,28,Sicotte,Law,2015,372,30,10,20,0.33,32,Medium-Low Digitalization
2978,28,Sicotte,Law,2015,373,19,5,14,0.29,28,Medium-Low Digitalization
2986,28,Sicotte,Law,2015,374,9,2,7,0.18,18,Low Digitalization
2994,28,Sicotte,Law,2015,375,10,1,9,0.09,9,Low Digitalization
3002,28,Sicotte,Law,2015,376,9,3,6,0.33,33,Medium-Low Digitalization
3010,28,Sicotte,Law,2015,377,7,2,5,0.28,28,Medium-Low Digitalization
3018,28,Sicotte,Law,2015,378,40,20,20,0.51,51,Medium-High Digitalization
3026,28,Sicotte,Law,2015,379,12,7,5,0.56,55,Medium-High Digitalization
3034,28,Sicotte,Law,2015,380,50,1,49,0.02,2,Low Digitalization
3042,28,Sicotte,Law,2015,381,10,7,3,0.66,66,Medium-High Digitalization
3050,28,Sicotte,Law,2015,382,37,13,24,0.35,34,Medium-Low Digitalization
3058,28,Sicotte,Law,2015,383,20,0,20,0.01,1,Low Digitalization
3066,28,Sicotte,Law,2015,384,33,10,23,0.32,31,Medium-Low Digitalization
3074,29,Doyon,Law,2015,385,12,5,7,0.41,41,Medium-Low Digitalization
3082,29,Doyon,Law,2015,386,7,1,6,0.1,10,Low Digitalization
3090,29,Doyon,Law,2015,387,7,4,3,0.54,53,Medium-High Digitalization
3098,29,Doyon,Law,2015,388,52,5,47,0.09,8,Low Digitalization
3106,29,Doyon,Law,2015,389,6,1,5,0.19,18,Low Digitalization
3114,29,Doyon,Law,2015,390,17,10,7,0.58,57,Medium-High Digitalization
3122,29,Doyon,Law,2015,391,37,15,22,0.39,39,Medium-Low Digitalization
3130,29,Doyon,Law,2015,392,19,2,17,0.12,12,Low Digitalization
3138,29,Doyon,Law,2015,393,13,0,13,0.04,3,Low Digitalization
3146,29,Doyon,Law,2015,394,23,5,18,0.2,19,Low Digitalization
3154,29,Doyon,Law,2015,395,11,7,4,0.66,65,Medium-High Digitalization
3162,29,Doyon,Law,2015,396,25,2,23,0.08,7,Low Digitalization
3170,29,Doyon,Law,2015,397,59,14,45,0.24,24,Medium-Low Digitalization
3178,29,Doyon,Law,2015,398,16,11,5,0.66,65,Medium-High Digitalization
3186,29,Doyon,Law,2015,399,6,1,5,0.24,23,Medium-Low Digitalization
3194,29,Doyon,Law,2015,400,25,5,20,0.21,21,Medium-Low Digitalization
3202,29,Doyon,Law,2015,401,22,3,19,0.12,12,Low Digitalization
3210,29,Doyon,Law,2015,402,10,6,4,0.59,59,Medium-High Digitalization
3218,30,Lard,Law,2015,403,20,9,11,0.47,47,Medium-Low Digitalization
3226,30,Lard,Law,2015,404,40,15,25,0.38,38,Medium-Low Digitalization
3234,30,Lard,Law,2015,405,25,16,9,0.62,62,Medium-High Digitalization
3242,30,Lard,Law,2015,406,9,5,4,0.5,50,Medium-Low Digitalization
3250,30,Lard,Law,2015,407,30,20,10,0.65,65,Medium-High Digitalization
3258,30,Lard,Law,2015,408,5,0,5,0.09,9,Low Digitalization
3266,30,Lard,Law,2015,409,34,10,24,0.3,29,Medium-Low Digitalization
3274,30,Lard,Law,2015,410,10,4,6,0.36,36,Medium-Low Digitalization
3282,30,Lard,Law,2015,411,15,4,11,0.26,26,Medium-Low Digitalization
3290,31,Michelin,Engineering,2015,412,24,11,13,0.46,46,Medium-Low Digitalization
3298,31,Michelin,Engineering,2015,413,19,5,14,0.28,27,Medium-Low Digitalization
3306,31,Michelin,Engineering,2015,414,37,11,26,0.29,29,Medium-Low Digitalization
3314,31,Michelin,Engineering,2015,415,30,14,16,0.48,48,Medium-Low Digitalization
3322,31,Michelin,Engineering,2015,416,40,20,20,0.51,50,Medium-Low Digitalization
3330,31,Michelin,Engineering,2015,417,43,24,19,0.55,55,Medium-High Digitalization
3338,31,Michelin,Engineering,2015,418,10,2,8,0.19,18,Low Digitalization
3346,31,Michelin,Engineering,2015,419,11,4,7,0.36,35,Medium-Low Digitalization
3354,31,Michelin,Engineering,2015,420,23,7,16,0.29,29,Medium-Low Digitalization
3362,31,Michelin,Engineering,2015,421,14,8,6,0.6,59,Medium-High Digitalization
3370,31,Michelin,Engineering,2015,422,6,1,5,0.09,8,Low Digitalization
3378,31,Michelin,Engineering,2015,423,9,5,4,0.59,59,Medium-High Digitalization
3386,31,Michelin,Engineering,2015,424,15,2,13,0.1,10,Low Digitalization
3394,31,Michelin,Engineering,2015,425,9,2,7,0.24,24,Medium-Low Digitalization
3402,31,Michelin,Engineering,2015,426,11,0,11,0.04,4,Low Digitalization
3410,31,Michelin,Engineering,2015,427,32,20,12,0.62,62,Medium-High Digitalization
3418,31,Michelin,Engineering,2015,428,38,12,26,0.31,31,Medium-Low Digitalization
3426,32,Dusseault,Engineering,2015,429,13,7,6,0.51,50,Medium-Low Digitalization
3434,32,Dusseault,Engineering,2015,430,11,3,8,0.27,27,Medium-Low Digitalization
3442,32,Dusseault,Engineering,2015,431,5,3,2,0.55,55,Medium-High Digitalization
3450,32,Dusseault,Engineering,2015,432,57,7,50,0.12,12,Low Digitalization
3458,32,Dusseault,Engineering,2015,433,21,9,12,0.43,42,Medium-Low Digitalization
3466,32,Dusseault,Engineering,2015,434,16,7,9,0.45,44,Medium-Low Digitalization
3474,32,Dusseault,Engineering,2015,435,33,19,14,0.58,57,Medium-High Digitalization
3482,32,Dusseault,Engineering,2015,436,11,3,8,0.27,27,Medium-Low Digitalization
3490,32,Dusseault,Engineering,2015,437,23,2,21,0.1,9,Low Digitalization
3498,32,Dusseault,Engineering,2015,438,35,1,34,0.04,3,Low Digitalization
3506,32,Dusseault,Engineering,2015,439,33,19,14,0.56,56,Medium-High Digitalization
3514,32,Dusseault,Engineering,2015,440,7,4,3,0.63,62,Medium-High Digitalization
3522,32,Dusseault,Engineering,2015,441,14,2,12,0.12,12,Low Digitalization
3530,32,Dusseault,Engineering,2015,442,5,1,4,0.15,14,Low Digitalization
3538,32,Dusseault,Engineering,2015,443,29,13,16,0.44,44,Medium-Low Digitalization
3546,32,Dusseault,Engineering,2015,444,11,3,8,0.3,29,Medium-Low Digitalization
3554,32,Dusseault,Engineering,2015,445,8,3,5,0.35,34,Medium-Low Digitalization
3562,32,Dusseault,Engineering,2015,446,30,10,20,0.32,31,Medium-Low Digitalization
3570,32,Dusseault,Engineering,2015,447,22,13,9,0.59,59,Medium-High Digitalization
3578,33,Malboeuf,Engineering,2015,448,6,3,3,0.5,49,Medium-Low Digitalization
3586,33,Malboeuf,Engineering,2015,449,18,7,11,0.38,37,Medium-Low Digitalization
3594,33,Malboeuf,Engineering,2015,450,23,9,14,0.38,38,Medium-Low Digitalization
3602,33,Malboeuf,Engineering,2015,451,14,8,6,0.56,55,Medium-High Digitalization
3610,33,Malboeuf,Engineering,2015,452,12,1,11,0.11,11,Low Digitalization
3618,33,Malboeuf,Engineering,2015,453,30,1,29,0.02,2,Low Digitalization
3626,33,Malboeuf,Engineering,2015,454,23,1,22,0.03,2,Low Digitalization
3634,33,Malboeuf,Engineering,2015,455,7,0,7,0.06,6,Low Digitalization
3642,33,Malboeuf,Engineering,2015,456,8,1,7,0.17,16,Low Digitalization
3650,33,Malboeuf,Engineering,2015,457,60,40,20,0.67,66,Medium-High Digitalization
3658,33,Malboeuf,Engineering,2015,458,6,0,6,0.04,4,Low Digitalization
3666,33,Malboeuf,Engineering,2015,459,29,9,20,0.3,30,Medium-Low Digitalization
3674,33,Malboeuf,Engineering,2015,460,22,11,11,0.51,51,Medium-High Digitalization
3682,33,Malboeuf,Engineering,2015,461,36,2,34,0.06,6,Low Digitalization
3690,33,Malboeuf,Engineering,2015,462,11,1,10,0.07,6,Low Digitalization
3698,33,Malboeuf,Engineering,2015,463,22,11,11,0.52,51,Medium-High Digitalization
3706,33,Malboeuf,Engineering,2015,464,37,16,21,0.43,43,Medium-Low Digitalization
3714,33,Malboeuf,Engineering,2015,465,34,6,28,0.17,17,Low Digitalization
3722,34,Edin,Engineering,2015,466,19,7,12,0.36,36,Medium-Low Digitalization
3730,34,Edin,Engineering,2015,467,38,9,29,0.25,24,Medium-Low Digitalization
3738,34,Edin,Engineering,2015,468,32,12,20,0.36,35,Medium-Low Digitalization
3746,34,Edin,Engineering,2015,469,5,1,4,0.13,12,Low Digitalization
3754,34,Edin,Engineering,2015,470,37,24,13,0.66,65,Medium-High Digitalization
3762,34,Edin,Engineering,2015,471,21,5,16,0.23,23,Medium-Low Digitalization
3770,34,Edin,Engineering,2015,472,31,4,27,0.14,14,Low Digitalization
3778,35,Bressan,Engineering,2015,473,11,5,6,0.42,42,Medium-Low Digitalization
3786,35,Bressan,Engineering,2015,474,24,3,21,0.12,11,Low Digitalization
3794,35,Bressan,Engineering,2015,475,39,6,33,0.15,14,Low Digitalization
3802,35,Bressan,Engineering,2015,476,33,19,14,0.58,58,Medium-High Digitalization
3810,35,Bressan,Engineering,2015,477,28,4,24,0.13,12,Low Digitalization
3818,35,Bressan,Engineering,2015,478,24,7,17,0.27,27,Medium-Low Digitalization
3826,35,Bressan,Engineering,2015,479,16,8,8,0.47,47,Medium-Low Digitalization
3834,35,Bressan,Engineering,2015,480,14,4,10,0.29,28,Medium-Low Digitalization
3842,36,Arcement,Engineering,2015,481,15,5,10,0.36,35,Medium-Low Digitalization
3850,36,Arcement,Engineering,2015,482,31,12,19,0.39,39,Medium-Low Digitalization
3858,36,Arcement,Engineering,2015,483,12,2,10,0.17,17,Low Digitalization
3866,36,Arcement,Engineering,2015,484,6,2,4,0.39,39,Medium-Low Digitalization
3874,36,Arcement,Engineering,2015,485,36,14,22,0.4,39,Medium-Low Digitalization
3882,36,Arcement,Engineering,2015,486,29,15,14,0.52,52,Medium-High Digitalization
3890,36,Arcement,Engineering,2015,487,8,1,7,0.16,16,Low Digitalization
3898,36,Arcement,Engineering,2015,488,40,5,35,0.12,12,Low Digitalization
3906,36,Arcement,Engineering,2015,489,16,3,13,0.18,18,Low Digitalization
3914,36,Arcement,Engineering,2015,490,45,8,37,0.18,18,Low Digitalization
3922,36,Arcement,Engineering,2015,491,13,0,13,0.02,2,Low Digitalization
3930,36,Arcement,Engineering,2015,492,39,22,17,0.55,55,Medium-High Digitalization
3938,36,Arcement,Engineering,2015,493,11,7,4,0.67,66,Medium-High Digitalization
3946,36,Arcement,Engineering,2015,494,13,5,8,0.39,39,Medium-Low Digitalization
3954,36,Arcement,Engineering,2015,495,17,11,6,0.62,62,Medium-High Digitalization
3962,36,Arcement,Engineering,2015,496,9,3,6,0.39,38,Medium-Low Digitalization
3970,36,Arcement,Engineering,2015,497,11,5,6,0.45,44,Medium-Low Digitalization
